,0,1,2,3,4
CNN-or,0.0972,-0.046,-0.0482,0.3164,0.2869
RNN-or,0.4372,0.5054,0.2511,0.4347,0.4269
GRU-or,0.4995,0.3587,0.0313,0.0863,0.217
DNN-or,0.4627,0.0546,0.1739,0.3233,0.1068
LSTM-or,0.2678,0.2771,0.2381,0.2489,0.2832
