,0,1,2,3,4,5,6,7,8,9
CNN-sg9,-0.044,0.0696,0.0095,-0.0524,-0.1369,-0.1411,0.2682,-0.1408,-0.1393,-0.1345
RNN-sg9,0.0356,-0.0913,0.1166,0.0811,0.0425,0.1277,0.231,0.227,0.0302,0.1427
GRU-sg9,-0.054,-0.0753,0.1988,-0.0952,0.1013,-0.0559,-0.1692,0.0103,-0.0215,0.0011
DNN-sg9,-0.25,0.1186,0.2917,-0.1262,-0.0842,-0.0999,0.1819,-0.0117,-0.0825,-1.585
LSTM-sg9,-0.0545,-0.0,-0.1079,-0.0415,0.0887,-0.0042,0.066,-0.0446,-0.0987,-0.1111
