,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,2.55713,0.64651,2.15642,2.95784,1.57901,3.54716
TestRMSE,2.31661,0.59844,1.94569,2.68753,1.33931,3.12655
Step1,1.27854,0.41931,1.01865,1.53843,0.81656,2.00558
Step2,1.2531,0.40074,1.00472,1.50149,0.76494,2.14966
Step3,1.35379,0.59223,0.98672,1.72085,0.7361,2.63993
