,0,1
CNN-sg5,-2.1529,-0.899
RNN-sg5,-1.4122,-0.0789
GRU-sg5,-0.2812,-0.2545
DNN-sg5,-0.4816,-0.1146
LSTM-sg5,0.2191,0.1073
