,fc1_rmse_mean,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_mean,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_mean,test_loss_std,test_loss_max,test_loss_min,train_loss_mean,train_loss_std,train_loss_max,train_loss_min
CNN-sg5,1.1811,0.1489,1.33,1.0322,-1.526,0.6269,-0.899,-2.1529,0.3375,0.0672,0.4047,0.2703,168.304,39.7279,208.0319,128.576
RNN-sg5,0.9707,0.1927,1.1634,0.778,-0.7455,0.6666,-0.0789,-1.4122,0.2065,0.0946,0.3011,0.1119,157.5352,101.7871,259.3223,55.748
GRU-sg5,0.8434,0.0044,0.8478,0.839,-0.2679,0.0134,-0.2545,-0.2812,0.1654,0.0006,0.1661,0.1648,89.5835,23.2466,112.8301,66.3369
DNN-sg5,0.8512,0.0604,0.9117,0.7908,-0.2981,0.1835,-0.1146,-0.4816,0.1726,0.0231,0.1956,0.1495,106.434,11.4211,117.8551,95.0128
LSTM-sg5,0.6848,0.0229,0.7077,0.6619,0.1632,0.0559,0.2191,0.1073,0.1029,0.002,0.1049,0.1008,47.8109,3.0456,50.8565,44.7653
