,0,1
CNN-sg5,-1.863,-0.6429
RNN-sg5,-0.5526,-0.0531
GRU-sg5,-0.3088,-0.2135
DNN-sg5,-0.3856,-0.1041
LSTM-sg5,0.0815,-0.0598
