,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.2508,0.00601,0.24707,0.25453,0.24201,0.26004
TestRMSE,0.90812,0.00879,0.90268,0.91357,0.8927,0.9246
Step1,0.34261,0.00596,0.33891,0.3463,0.33223,0.35043
Step2,0.51991,0.00604,0.51616,0.52366,0.50847,0.53126
Step3,0.66103,0.00627,0.65715,0.66492,0.65146,0.67556
