,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainMSE,0.0235,0.00055,0.02316,0.02385,0.02265,0.02445
TestMSE,0.11659,0.00242,0.11509,0.11809,0.11364,0.12219
Step1,0.11659,0.00242,0.11509,0.11809,0.11364,0.12219
Step2,0.25661,0.00329,0.25457,0.25865,0.25345,0.26411
Step3,0.414,0.00318,0.41203,0.41597,0.40908,0.41932
