,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,0.00855,-0.06489,-0.03406,-0.02531,-0.00552
Exp2,0.00622,-0.06752,-0.0339,-0.02664,-0.00698
Exp3,0.01007,-0.0593,-0.03347,-0.02383,-0.00199
Exp4,0.00996,-0.06251,-0.03338,-0.0243,-0.00483
Exp5,0.0097,-0.06068,-0.03155,-0.02369,-0.00544
Exp6,0.0055,-0.06937,-0.03267,-0.027,-0.00969
Exp7,0.00588,-0.05837,-0.03279,-0.02381,-0.00178
Exp8,0.00269,-0.05866,-0.03244,-0.02291,-0.00331
Exp9,0.00522,-0.05776,-0.03215,-0.02274,-0.00287
Exp10,0.00781,-0.05999,-0.03338,-0.02371,-0.0029
