,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainMSE,0.02503,0.00055,0.02469,0.02536,0.02381,0.02602
TestMSE,0.13104,0.00385,0.12865,0.13342,0.12456,0.13556
Step1,0.13104,0.00385,0.12865,0.13342,0.12456,0.13556
Step2,0.29493,0.00623,0.29107,0.29879,0.28316,0.30226
Step3,0.48065,0.00738,0.47608,0.48522,0.46784,0.48903
