,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,0.00992,-0.0321,-0.02903,-0.01516,0.01209
Exp2,0.00571,-0.02831,-0.02835,-0.01352,0.01357
Exp3,0.00662,-0.0438,-0.03239,-0.01869,0.00727
Exp4,0.00834,-0.04162,-0.03286,-0.01829,0.00953
Exp5,0.00767,-0.03232,-0.03014,-0.01519,0.013
Exp6,0.00804,-0.02469,-0.02587,-0.01235,0.01354
Exp7,-0.00101,-0.03105,-0.02862,-0.01509,0.01266
Exp8,0.0099,-0.02538,-0.03088,-0.01197,0.01748
Exp9,0.01171,-0.03865,-0.03317,-0.01743,0.01195
Exp10,0.01234,-0.0217,-0.02723,-0.01215,0.01768
