,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.25463,0.00406,0.25212,0.25714,0.24993,0.26312
TestRMSE,0.9204,0.00854,0.91511,0.9257,0.90424,0.93378
Step1,0.34589,0.00652,0.34185,0.34993,0.33204,0.35228
Step2,0.52514,0.00515,0.52195,0.52834,0.51612,0.53241
Step3,0.67209,0.00541,0.66874,0.67544,0.66409,0.68347
