,0,1,2,3,4
CNN-sg5,0.7719,0.7674,0.8487,0.8447,0.755
RNN-sg5,0.7209,0.7349,0.7477,0.7331,0.7644
GRU-sg5,0.7527,0.7786,0.7326,0.8075,0.7516
DNN-sg5,0.7635,0.7711,0.7693,0.7597,0.7735
LSTM-sg5,0.9576,0.9767,0.8534,1.0142,1.0429
