,fc1_rmse_mean,fc1_r2_mean,test_loss_mean,train_loss_mean,valid_loss_mean,last_epoch,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_std,test_loss_max,test_loss_min,train_loss_std,train_loss_max,train_loss_min,valid_loss_std,valid_loss_max,valid_loss_min
LSTM-sg9,4.3069,0.9432,0.0129,1.3309,0.5842,0.0000,0.1140,4.4126,4.1487,0.0030,0.9473,0.9404,0.0007,0.0134,0.0119,0.0572,1.3999,1.2599,0.0107,0.5982,0.5723
LSTM-sg7,4.5586,0.9363,0.0136,1.5972,0.6098,0.0000,0.0706,4.6361,4.4654,0.0019,0.9389,0.9342,0.0005,0.0143,0.0132,0.0787,1.7085,1.539,0.0287,0.6308,0.5692
LSTM-ew3,4.7324,0.9314,0.0136,3.0131,0.6233,0.0000,0.0538,4.8067,4.6808,0.0016,0.9329,0.9292,0.0005,0.0142,0.0133,0.0193,3.0398,2.9948,0.0141,0.6414,0.6069
LSTM-ew4,4.6430,0.9340,0.0137,2.5657,0.6775,0.0000,0.0974,4.7716,4.5358,0.0028,0.9370,0.9303,0.0003,0.0139,0.0133,0.1074,2.6746,2.4195,0.022,0.7073,0.655
LSTM-obs,5.2529,0.9155,0.0140,6.4539,0.7735,0.0000,0.0673,5.3481,5.2051,0.0022,0.9170,0.9124,0.0001,0.0141,0.0138,0.0715,6.5411,6.366,0.0337,0.8182,0.7369
LSTM-ew2,5.1111,0.9200,0.0141,4.0675,0.6547,0.0000,0.1137,5.2719,5.0297,0.0036,0.9225,0.9149,0.0001,0.0143,0.0141,0.1187,4.1889,3.9064,0.0139,0.6741,0.6428
LSTM-sg5,4.9866,0.9238,0.0155,3.0369,0.6279,0.0000,0.0669,5.0342,4.8919,0.0020,0.9267,0.9224,0.0003,0.0158,0.0152,0.0596,3.1209,2.9892,0.0357,0.6751,0.5887
