,fc3_rmse_mean,fc3_r2_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_std,fc3_r2_max,fc3_r2_min
0,11.6921,0.5703,0.2205,12.0034,11.521,0.0163,0.5829,0.5473
0,13.056,0.4642,0.2637,13.4275,12.8422,0.0218,0.4818,0.4335
0,11.866,0.5567,0.538,12.3498,11.1155,0.0396,0.6118,0.5207
0,10.5377,0.6505,0.428,10.8994,9.9366,0.0279,0.6897,0.6267
0,11.8342,0.5596,0.3358,12.262,11.4418,0.025,0.5886,0.5275
0,12.2711,0.5264,0.3844,12.7283,11.7879,0.0296,0.5634,0.4909
0,11.2301,0.6035,0.2488,11.5093,10.905,0.0175,0.6263,0.5838
