,TrainRMSE,TestRMSE,Step1,Step2,Step3
Exp1,0.15661,0.87141,0.36064,0.50118,0.61491
Exp2,0.16052,0.86305,0.35127,0.49622,0.61256
Exp3,0.15672,0.86814,0.35736,0.49899,0.61398
Exp4,0.1595,0.86532,0.35391,0.49866,0.61227
Exp5,0.15653,0.87172,0.35754,0.50165,0.61678
Exp6,0.15909,0.86723,0.35995,0.49862,0.61148
Exp7,0.15711,0.86903,0.35874,0.50027,0.6134
Exp8,0.15845,0.86511,0.35658,0.49754,0.61133
Exp9,0.15679,0.87162,0.35795,0.50163,0.61641
Exp10,0.16114,0.8678,0.3582,0.49779,0.61398
