,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,3.22504,1.13533,2.52135,3.92872,1.68093,5.34523
TestRMSE,2.81547,0.90294,2.25583,3.37512,1.47517,4.3966
Step1,1.48259,0.66306,1.07162,1.89356,0.8659,3.14121
Step2,1.35637,0.68395,0.93245,1.78029,0.72887,3.21158
Step3,1.8442,0.62919,1.45422,2.23418,0.76827,2.86214
