,TrainRMSE,TestRMSE,Step1,Step2,Step3
Exp1,0.1622,0.92251,0.36833,0.52814,0.66062
Exp2,0.16516,0.92033,0.36763,0.52653,0.65926
Exp3,0.16591,0.92439,0.37209,0.52839,0.66095
Exp4,0.16838,0.92081,0.36629,0.52652,0.66068
Exp5,0.16432,0.92191,0.36667,0.52753,0.6612
Exp6,0.16373,0.92021,0.36695,0.52621,0.65973
Exp7,0.16607,0.9183,0.36704,0.52596,0.65721
Exp8,0.16743,0.91816,0.36322,0.52505,0.65986
Exp9,0.16817,0.91983,0.36928,0.52568,0.65831
Exp10,0.16501,0.92787,0.37951,0.53035,0.66002
