,TrainRMSE,TestRMSE,Step1,Step2,Step3
Exp1,0.18887,0.90405,0.35735,0.52142,0.64632
Exp2,0.18712,0.90359,0.35964,0.52065,0.64502
Exp3,0.18892,0.89883,0.3575,0.51798,0.64171
Exp4,0.18841,0.89411,0.35439,0.51505,0.63919
Exp5,0.18723,0.89586,0.35591,0.51569,0.64028
Exp6,0.18662,0.89473,0.35497,0.51604,0.63893
Exp7,0.19031,0.90001,0.35967,0.51809,0.64206
Exp8,0.18439,0.90374,0.3585,0.52074,0.6458
Exp9,0.18414,0.89543,0.35359,0.51612,0.64062
Exp10,0.18931,0.89995,0.35727,0.519,0.64257
