,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.18753,0.00194,0.18633,0.18874,0.18414,0.19031
TestRMSE,0.89903,0.00368,0.89675,0.90131,0.89411,0.90405
Step1,0.35688,0.00201,0.35563,0.35812,0.35359,0.35967
Step2,0.51808,0.0022,0.51671,0.51945,0.51505,0.52142
Step3,0.64225,0.00253,0.64068,0.64382,0.63893,0.64632
