,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,2.26151,0.43673,1.99082,2.5322,1.55075,3.08708
TestRMSE,2.00507,0.38973,1.76351,2.24663,1.33777,2.70374
Step1,1.05315,0.24884,0.89892,1.20738,0.67917,1.3752
Step2,1.2416,0.32156,1.0423,1.44091,0.74374,1.76149
Step3,1.09897,0.38529,0.86016,1.33777,0.75917,2.06932
