,0,1,2,3,4
CNN-ew4,-0.0486,-0.0464,-0.4262,-0.4384,-0.0706
RNN-ew4,-0.0407,-0.1589,0.0008,-0.0828,-0.0559
GRU-ew4,-0.0729,0.0242,0.0358,0.0675,-0.0898
DNN-ew4,-0.1053,-0.0954,-0.0906,-0.0659,-0.0405
LSTM-ew4,-0.3896,-0.5863,-0.524,-0.591,-0.4146
