,fc2_rmse_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_mean,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-obs,0.6286,0.0919,0.8118,0.5765,0.2811,0.2281,0.4081,-0.1738
RNN-obs,0.5319,0.0156,0.5507,0.5118,0.4957,0.0296,0.5335,0.4598
GRU-obs,0.5445,0.0328,0.5963,0.5069,0.47,0.0644,0.5423,0.3667
DNN-obs,0.5929,0.0026,0.5973,0.5892,0.3738,0.0056,0.3816,0.3645
LSTM-obs,0.5427,0.0153,0.5631,0.516,0.4749,0.0293,0.5258,0.4353
CNN-sg5,0.6333,0.0914,0.8159,0.5824,0.2707,0.2284,0.3959,-0.1857
RNN-sg5,0.5251,0.0238,0.5653,0.5045,0.5078,0.0453,0.5466,0.4307
GRU-sg5,0.7611,0.0144,0.7788,0.7446,-0.0322,0.0391,0.0124,-0.0802
DNN-sg5,0.5929,0.0037,0.5965,0.5858,0.3738,0.0079,0.3888,0.3662
LSTM-sg5,0.7846,0.0596,0.8854,0.7106,-0.1027,0.17,0.1007,-0.3962
CNN-sg7,0.6882,0.1287,0.8496,0.5788,0.1269,0.3277,0.4033,-0.2856
RNN-sg7,0.4736,0.0359,0.5399,0.4348,0.5983,0.0627,0.6632,0.4808
GRU-sg7,0.5455,0.03,0.6005,0.5169,0.4684,0.0597,0.524,0.3578
DNN-sg7,0.5936,0.006,0.6022,0.5855,0.3723,0.0127,0.3894,0.3541
LSTM-sg7,0.5747,0.0739,0.684,0.4967,0.402,0.1557,0.5605,0.1666
CNN-sg9,0.6539,0.1112,0.8761,0.5932,0.2165,0.292,0.3733,-0.3673
RNN-sg9,0.4825,0.0217,0.506,0.4472,0.5845,0.037,0.6438,0.5439
GRU-sg9,0.543,0.0208,0.5734,0.5134,0.474,0.0402,0.5306,0.4143
DNN-sg9,0.602,0.0042,0.609,0.5963,0.3545,0.0089,0.3666,0.3394
LSTM-sg9,0.5618,0.0495,0.6046,0.4943,0.4334,0.0971,0.5648,0.3489
CNN-ew2,0.7288,0.1103,0.8231,0.5887,0.0322,0.2775,0.3827,-0.2067
RNN-ew2,0.5305,0.0207,0.5615,0.4985,0.498,0.0391,0.5574,0.4384
GRU-ew2,0.5382,0.0221,0.5688,0.5024,0.4833,0.0421,0.5505,0.4238
DNN-ew2,0.5958,0.0031,0.5999,0.5927,0.3678,0.0066,0.3743,0.359
LSTM-ew2,0.5313,0.0166,0.5498,0.5037,0.4967,0.0313,0.5481,0.4616
CNN-ew3,0.7407,0.1207,0.8431,0.5837,-0.0031,0.3077,0.3932,-0.2661
RNN-ew3,0.5284,0.013,0.5438,0.5054,0.5024,0.0243,0.545,0.4734
GRU-ew3,0.5217,0.0177,0.5538,0.501,0.5147,0.0334,0.553,0.4536
DNN-ew3,0.5924,0.0047,0.5958,0.5834,0.3748,0.0098,0.3937,0.3677
LSTM-ew3,0.5446,0.0194,0.5691,0.5112,0.471,0.0371,0.5345,0.4232
CNN-ew4,0.6984,0.1283,0.8624,0.5902,0.1019,0.3312,0.3796,-0.3247
RNN-ew4,0.5176,0.0167,0.5444,0.4997,0.5223,0.0311,0.5553,0.4721
GRU-ew4,0.5097,0.0141,0.527,0.4889,0.5369,0.0255,0.5743,0.5052
DNN-ew4,0.5919,0.0049,0.5982,0.5856,0.3759,0.0103,0.3892,0.3626
LSTM-ew4,0.5353,0.0099,0.5541,0.5279,0.4895,0.0191,0.5037,0.4531
CNN-or,0.6276,0.0845,0.7958,0.5745,0.2856,0.2076,0.412,-0.1281
RNN-or,0.4911,0.013,0.4987,0.4652,0.5701,0.0223,0.6145,0.557
GRU-or,0.5056,0.0076,0.5181,0.4958,0.5445,0.0138,0.5622,0.5219
DNN-or,0.5912,0.0026,0.5957,0.5883,0.3775,0.0054,0.3835,0.368
LSTM-or,0.5328,0.0671,0.6615,0.4726,0.4864,0.1371,0.6022,0.2206
