,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.25108,0.0009,0.2503,0.25187,0.25023,0.2527
TestRMSE,0.92026,0.00477,0.91608,0.92443,0.912,0.92545
Step1,0.34944,0.00163,0.34801,0.35087,0.34743,0.35231
Step2,0.52847,0.00471,0.52434,0.5326,0.51941,0.53194
Step3,0.66743,0.00321,0.66462,0.67025,0.66355,0.67181
