,fc3_rmse_mean,fc3_r2_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-obs,0.7779,-0.0799,0.0354,0.8274,0.7466,0.0995,0.0073,-0.2191
RNN-obs,0.7557,-0.0174,0.0167,0.7783,0.7386,0.045,0.0286,-0.0785
GRU-obs,0.7785,-0.0798,0.0163,0.7951,0.7564,0.045,-0.0187,-0.1258
DNN-obs,0.7567,-0.0197,0.0027,0.7599,0.7533,0.0073,-0.0104,-0.0283
LSTM-obs,0.8921,-0.4191,0.0332,0.9308,0.8497,0.1053,-0.2855,-0.5428
CNN-sg5,0.7566,-0.0193,0.0016,0.7589,0.7554,0.0045,-0.0161,-0.0257
RNN-sg5,0.7562,-0.0185,0.0103,0.7697,0.7447,0.0278,0.0125,-0.0549
GRU-sg5,0.7744,-0.0705,0.0374,0.8247,0.735,0.1043,0.0381,-0.2112
DNN-sg5,0.7644,-0.0406,0.0107,0.7787,0.7531,0.0291,-0.01,-0.0797
LSTM-sg5,0.8846,-0.3965,0.043,0.9244,0.8248,0.1336,-0.2113,-0.5215
CNN-sg7,0.7712,-0.059,0.006,0.7796,0.7667,0.0165,-0.0466,-0.0823
RNN-sg7,0.7064,0.1102,0.0264,0.7259,0.669,0.0656,0.2029,0.0616
GRU-sg7,0.7057,0.113,0.0122,0.7208,0.6909,0.0307,0.1501,0.0749
DNN-sg7,0.7748,-0.0689,0.0042,0.7793,0.7691,0.0116,-0.0534,-0.0813
LSTM-sg7,0.8881,-0.4068,0.0375,0.9335,0.8416,0.1186,-0.2612,-0.5517
CNN-sg9,0.8084,-0.1657,0.0327,0.8546,0.7838,0.0954,-0.094,-0.3005
RNN-sg9,0.7528,-0.0099,0.0208,0.7822,0.7368,0.0563,0.0334,-0.0894
GRU-sg9,0.7513,-0.0055,0.0162,0.7629,0.7284,0.043,0.0553,-0.0365
DNN-sg9,0.7874,-0.104,0.0046,0.7923,0.7812,0.013,-0.0867,-0.1179
LSTM-sg9,0.884,-0.3928,0.0288,0.9153,0.8457,0.0903,-0.2734,-0.4917
CNN-ew2,0.8171,-0.1923,0.0442,0.8494,0.7546,0.1261,-0.014,-0.2846
RNN-ew2,0.7426,0.0177,0.0132,0.7544,0.7242,0.0346,0.066,-0.0133
GRU-ew2,0.8315,-0.2346,0.0455,0.883,0.7723,0.1339,-0.062,-0.3882
DNN-ew2,0.7629,-0.0365,0.0061,0.7699,0.7551,0.0166,-0.0152,-0.0556
LSTM-ew2,0.9276,-0.5334,0.0273,0.9577,0.8916,0.0897,-0.4156,-0.6332
CNN-ew3,0.8418,-0.2657,0.0458,0.8742,0.7771,0.1346,-0.0753,-0.3609
RNN-ew3,0.8103,-0.1772,0.0675,0.8891,0.7243,0.1935,0.0658,-0.4077
GRU-ew3,0.8034,-0.1505,0.0262,0.8292,0.7674,0.0743,-0.0488,-0.2242
DNN-ew3,0.7709,-0.0583,0.0057,0.7785,0.7648,0.0157,-0.0416,-0.0793
LSTM-ew3,0.9311,-0.5503,0.061,0.9793,0.845,0.1977,-0.2715,-0.7078
CNN-ew4,0.8296,-0.2295,0.0476,0.8878,0.7712,0.1407,-0.059,-0.4035
RNN-ew4,0.7776,-0.0781,0.0275,0.8133,0.7465,0.0764,0.0077,-0.1778
GRU-ew4,0.7528,-0.0097,0.018,0.7731,0.7294,0.048,0.0526,-0.0643
DNN-ew4,0.7841,-0.0949,0.0058,0.7914,0.7771,0.0163,-0.0754,-0.1153
LSTM-ew4,0.9481,-0.6035,0.0403,1.0017,0.9044,0.1372,-0.4566,-0.7867
CNN-or,0.774,-0.0687,0.0322,0.8195,0.7505,0.0899,-0.003,-0.1958
RNN-or,0.6885,0.1555,0.0135,0.6989,0.6694,0.033,0.2021,0.1303
GRU-or,0.7049,0.1135,0.0319,0.75,0.6815,0.0814,0.1729,-0.0017
DNN-or,0.7588,-0.0255,0.0103,0.7733,0.7506,0.0279,-0.0033,-0.0649
LSTM-or,0.7254,0.0629,0.0095,0.7359,0.7129,0.0245,0.0951,0.0357
