,fc1_rmse_mean,fc1_r2_mean,test_loss_mean,train_loss_mean,valid_loss_mean,last_epoch,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_std,test_loss_max,test_loss_min,train_loss_std,train_loss_max,train_loss_min,valid_loss_std,valid_loss_max,valid_loss_min
CNN-obs,0.4883,0.5068,0.0765,0.0,0.0,0.0,0.1956,0.7646,0.339,0.3882,0.7951,-0.042,0.0278,0.1158,0.0567,0.0,0.0,0.0,0.0,0.0,0.0
RNN-obs,0.2518,0.887,0.044,0.0,0.0,0.0,0.0048,0.2581,0.2464,0.0043,0.8918,0.8813,0.0001,0.044,0.0438,0.0,0.0,0.0,0.0,0.0,0.0
GRU-obs,0.249,0.8895,0.0414,0.0,0.0,0.0,0.0019,0.2515,0.2471,0.0017,0.8912,0.8872,0.0005,0.042,0.0408,0.0,0.0,0.0,0.0,0.0,0.0
DNN-obs,0.3493,0.7825,0.0561,0.0,0.0,0.0,0.0016,0.3506,0.3471,0.002,0.7853,0.7809,0.0006,0.0566,0.0552,0.0,0.0,0.0,0.0,0.0,0.0
LSTM-obs,0.2516,0.8871,0.0405,0.0,0.0,0.0,0.0023,0.2543,0.2486,0.0021,0.8899,0.8847,0.0004,0.041,0.04,0.0,0.0,0.0,0.0,0.0,0.0
CNN-sg5,0.3376,0.7968,0.057,0.0,0.0,0.0,0.0001,0.3378,0.3375,0.0002,0.797,0.7966,0.0,0.057,0.0569,0.0,0.0,0.0,0.0,0.0,0.0
RNN-sg5,0.2271,0.9081,0.0415,0.0,0.0,0.0,0.0002,0.2273,0.2268,0.0002,0.9083,0.9079,0.0001,0.0416,0.0413,0.0,0.0,0.0,0.0,0.0,0.0
GRU-sg5,0.2403,0.8971,0.0385,0.0,0.0,0.0,0.002,0.243,0.2383,0.0017,0.8988,0.8948,0.0001,0.0386,0.0383,0.0,0.0,0.0,0.0,0.0,0.0
DNN-sg5,0.3481,0.7838,0.0562,0.0,0.0,0.0,0.0115,0.3638,0.3364,0.0144,0.7983,0.7642,0.0005,0.0569,0.0558,0.0,0.0,0.0,0.0,0.0,0.0
LSTM-sg5,0.2409,0.8963,0.0388,0.0,0.0,0.0,0.0095,0.2542,0.2325,0.0082,0.9036,0.8848,0.0003,0.0392,0.0385,0.0,0.0,0.0,0.0,0.0,0.0
CNN-sg7,0.3403,0.7935,0.057,0.0,0.0,0.0,0.0065,0.3495,0.3357,0.0079,0.7991,0.7823,0.0001,0.0571,0.057,0.0,0.0,0.0,0.0,0.0,0.0
RNN-sg7,0.2185,0.9149,0.0423,0.0,0.0,0.0,0.0051,0.2229,0.2113,0.004,0.9204,0.9114,0.0008,0.043,0.0412,0.0,0.0,0.0,0.0,0.0,0.0
GRU-sg7,0.209,0.9221,0.0383,0.0,0.0,0.0,0.0022,0.2114,0.2061,0.0016,0.9243,0.9204,0.0007,0.0388,0.0372,0.0,0.0,0.0,0.0,0.0,0.0
DNN-sg7,0.3425,0.7909,0.057,0.0,0.0,0.0,0.0045,0.3485,0.3375,0.0056,0.797,0.7835,0.0002,0.0572,0.0569,0.0,0.0,0.0,0.0,0.0,0.0
LSTM-sg7,0.2399,0.8973,0.0388,0.0,0.0,0.0,0.0071,0.2497,0.2333,0.0061,0.903,0.8889,0.0003,0.0391,0.0383,0.0,0.0,0.0,0.0,0.0,0.0
CNN-sg9,0.4914,0.4916,0.0783,0.0,0.0,0.0,0.2093,0.7873,0.3428,0.4217,0.7905,-0.1048,0.0292,0.1196,0.0572,0.0,0.0,0.0,0.0,0.0,0.0
RNN-sg9,0.2286,0.9069,0.0442,0.0,0.0,0.0,0.0042,0.2344,0.2246,0.0034,0.9101,0.9021,0.0003,0.0446,0.0438,0.0,0.0,0.0,0.0,0.0,0.0
GRU-sg9,0.2173,0.9158,0.0396,0.0,0.0,0.0,0.0044,0.2234,0.2133,0.0035,0.9189,0.911,0.0003,0.0399,0.0392,0.0,0.0,0.0,0.0,0.0,0.0
DNN-sg9,0.3451,0.7877,0.0574,0.0,0.0,0.0,0.001,0.3465,0.3442,0.0012,0.7889,0.786,0.0001,0.0575,0.0572,0.0,0.0,0.0,0.0,0.0,0.0
LSTM-sg9,0.2311,0.9048,0.041,0.0,0.0,0.0,0.0038,0.2364,0.2277,0.0032,0.9076,0.9004,0.0005,0.0415,0.0404,0.0,0.0,0.0,0.0,0.0,0.0
CNN-ew2,0.6331,0.2066,0.0981,0.0,0.0,0.0,0.2104,0.7828,0.3355,0.4192,0.7994,-0.0923,0.0291,0.1188,0.057,0.0,0.0,0.0,0.0,0.0,0.0
RNN-ew2,0.235,0.9016,0.0421,0.0,0.0,0.0,0.0036,0.2401,0.2324,0.003,0.9038,0.8973,0.0007,0.0429,0.0411,0.0,0.0,0.0,0.0,0.0,0.0
GRU-ew2,0.2395,0.8977,0.0389,0.0,0.0,0.0,0.0041,0.2434,0.2338,0.0035,0.9026,0.8944,0.0004,0.0394,0.0386,0.0,0.0,0.0,0.0,0.0,0.0
DNN-ew2,0.345,0.7877,0.0563,0.0,0.0,0.0,0.0071,0.3528,0.3357,0.0087,0.7991,0.7781,0.0005,0.057,0.0558,0.0,0.0,0.0,0.0,0.0,0.0
LSTM-ew2,0.2467,0.8916,0.0392,0.0,0.0,0.0,0.0032,0.251,0.2434,0.0028,0.8944,0.8878,0.0006,0.04,0.0387,0.0,0.0,0.0,0.0,0.0,0.0
CNN-ew3,0.6531,0.1583,0.1009,0.0,0.0,0.0,0.2138,0.8043,0.3507,0.4401,0.7807,-0.153,0.0311,0.1229,0.057,0.0,0.0,0.0,0.0,0.0,0.0
RNN-ew3,0.2465,0.8915,0.0434,0.0,0.0,0.0,0.0106,0.26,0.234,0.0094,0.9024,0.8795,0.0004,0.044,0.0431,0.0,0.0,0.0,0.0,0.0,0.0
GRU-ew3,0.2309,0.905,0.0392,0.0,0.0,0.0,0.0033,0.2346,0.2266,0.0027,0.9085,0.9019,0.0002,0.0394,0.039,0.0,0.0,0.0,0.0,0.0,0.0
DNN-ew3,0.3413,0.7924,0.0569,0.0,0.0,0.0,0.0049,0.3474,0.3355,0.0059,0.7993,0.7849,0.0001,0.0571,0.0568,0.0,0.0,0.0,0.0,0.0,0.0
LSTM-ew3,0.2412,0.8963,0.0388,0.0,0.0,0.0,0.0049,0.2452,0.2342,0.0043,0.9023,0.8928,0.0006,0.0392,0.038,0.0,0.0,0.0,0.0,0.0,0.0
CNN-ew4,0.6393,0.1884,0.0996,0.0,0.0,0.0,0.2161,0.8163,0.335,0.4363,0.8,-0.1877,0.0302,0.1254,0.0572,0.0,0.0,0.0,0.0,0.0,0.0
RNN-ew4,0.2384,0.8986,0.0432,0.0,0.0,0.0,0.0028,0.2421,0.2354,0.0024,0.9012,0.8955,0.0003,0.0435,0.0427,0.0,0.0,0.0,0.0,0.0,0.0
GRU-ew4,0.2277,0.9076,0.0391,0.0,0.0,0.0,0.0028,0.23,0.2237,0.0023,0.9108,0.9057,0.0004,0.0396,0.0388,0.0,0.0,0.0,0.0,0.0,0.0
DNN-ew4,0.3473,0.7851,0.0571,0.0,0.0,0.0,0.0035,0.3514,0.3428,0.0043,0.7906,0.78,0.0002,0.0574,0.0569,0.0,0.0,0.0,0.0,0.0,0.0
LSTM-ew4,0.2466,0.8915,0.0395,0.0,0.0,0.0,0.0058,0.2529,0.2389,0.005,0.8982,0.886,0.001,0.0408,0.0384,0.0,0.0,0.0,0.0,0.0,0.0
CNN-or,0.4759,0.5252,0.0763,0.0,0.0,0.0,0.1996,0.7582,0.3346,0.3889,0.8005,-0.0247,0.0273,0.1149,0.057,0.0,0.0,0.0,0.0,0.0,0.0
RNN-or,0.2405,0.8969,0.0432,0.0,0.0,0.0,0.0048,0.2447,0.2338,0.0041,0.9026,0.8933,0.0005,0.0437,0.0425,0.0,0.0,0.0,0.0,0.0,0.0
GRU-or,0.2325,0.9036,0.0405,0.0,0.0,0.0,0.0046,0.2384,0.2272,0.0038,0.908,0.8987,0.0002,0.0407,0.0402,0.0,0.0,0.0,0.0,0.0,0.0
DNN-or,0.3413,0.7923,0.0572,0.0,0.0,0.0,0.0089,0.3538,0.3349,0.0109,0.8001,0.7769,0.0003,0.0576,0.0569,0.0,0.0,0.0,0.0,0.0,0.0
LSTM-or,0.222,0.9121,0.0398,0.0,0.0,0.0,0.0019,0.2241,0.2196,0.0014,0.914,0.9105,0.0003,0.04,0.0394,0.0,0.0,0.0,0.0,0.0,0.0
