,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,1.28414,78.03468,78.03468,90.78115,122.14103
Exp2,1.28326,77.91436,77.91436,89.79461,121.07833
Exp3,1.23597,76.11263,76.11263,89.32175,121.51489
Exp4,1.24135,79.26214,79.26214,92.24182,124.7453
Exp5,1.23968,79.4189,79.4189,91.95091,123.97358
Exp6,1.25975,78.66546,78.66546,90.9036,122.75642
Exp7,1.26604,76.54419,76.54419,89.17419,121.04299
Exp8,1.26756,77.08332,77.08332,89.35456,119.64781
Exp9,1.25754,76.17366,76.17366,89.72989,122.15176
Exp10,1.29732,79.61999,79.61999,91.91232,123.70479
