,fc1_rmse_mean,fc1_r2_mean,test_loss_mean,train_loss_mean,valid_loss_mean,last_epoch,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_std,test_loss_max,test_loss_min,train_loss_std,train_loss_max,train_loss_min,valid_loss_std,valid_loss_max,valid_loss_min
0,5.1724,0.9181,0.0138,6.0345,0.7489,6.25e-06,0.0794,5.2501,5.0634,0.0025,0.9215,0.9156,0.0001,0.0139,0.0137,0.2375,6.3047,5.7265,0.0322,0.7845,0.7065
0,4.9182,0.9259,0.0147,2.672,0.6554,1.5625e-06,0.1511,5.1313,4.7971,0.0046,0.9295,0.9194,0.0003,0.0149,0.0143,0.1302,2.83,2.511,0.0086,0.6664,0.6454
0,4.5629,0.9362,0.0141,1.4801,0.6539,3.125e-06,0.1186,4.7233,4.4402,0.0033,0.9396,0.9317,0.0008,0.0149,0.0129,0.0961,1.6133,1.39,0.0224,0.6855,0.636
0,4.3561,0.9418,0.0131,1.1949,0.6111,3.125e-06,0.0683,4.4066,4.2595,0.0018,0.9444,0.9405,0.0005,0.0136,0.0124,0.028,1.2344,1.1726,0.0168,0.623,0.5874
0,4.9044,0.9263,0.0139,3.7316,0.6336,3.125e-06,0.0988,5.0311,4.7901,0.003,0.9297,0.9225,0.0003,0.0143,0.0136,0.0605,3.7863,3.6473,0.0188,0.659,0.6142
0,4.6529,0.9337,0.0135,2.7217,0.6158,6.25e-06,0.0357,4.7028,4.6211,0.001,0.9346,0.9323,0.0002,0.0138,0.0134,0.2238,2.8867,2.4054,0.0131,0.6316,0.5997
0,4.514,0.9375,0.0135,2.349,0.629,1.25e-05,0.121,4.6009,4.3428,0.0033,0.9422,0.9352,0.0005,0.014,0.0129,0.0566,2.4179,2.2794,0.0352,0.6643,0.5809
