,0,1,2
CNN-or,0.8012,0.8007,0.8008
RNN-or,0.8838,0.8872,0.876
GRU-or,0.8813,0.8637,0.8935
DNN-or,0.7758,0.7043,0.6109
LSTM-or,0.889,0.8904,0.8713
