,0,1,2
CNN-or,0.4009,0.3975,0.3978
RNN-or,0.5555,0.5551,0.5466
GRU-or,0.5416,0.5259,0.5603
DNN-or,0.3691,0.2505,0.137
LSTM-or,0.5824,0.5727,0.5355
