,0,1,2
CNN-or,0.0055,-0.0031,-0.0023
RNN-or,0.1595,0.1703,0.1595
GRU-or,0.1252,0.1366,0.1159
DNN-or,-0.0305,-0.0957,-0.1563
LSTM-or,0.217,0.1692,0.1417
