,0,1,2
CNN-or,0.7473,0.7506,0.7502
RNN-or,0.687,0.6826,0.687
GRU-or,0.7009,0.6963,0.7046
DNN-or,0.7607,0.7844,0.8058
LSTM-or,0.6631,0.683,0.6943
