,fc2_rmse_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_mean,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-or,0.581,0.0007,0.5816,0.58,0.3987,0.0015,0.4009,0.3975
RNN-or,0.5013,0.0023,0.5045,0.4996,0.5524,0.0041,0.5555,0.5466
GRU-or,0.5067,0.0078,0.5159,0.4968,0.5426,0.0141,0.5603,0.5259
DNN-or,0.6467,0.0412,0.6961,0.5952,0.2522,0.0948,0.3691,0.137
LSTM-or,0.4949,0.0114,0.5106,0.4842,0.5635,0.0202,0.5824,0.5355
