,fc1_rmse_mean,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_mean,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_mean,test_loss_std,test_loss_max,test_loss_min,train_loss_mean,train_loss_std,train_loss_max,train_loss_min
CNN-or,0.3342,0.0002,0.3344,0.3339,0.8009,0.0002,0.8012,0.8007,0.057,0.0,0.057,0.057,12.9791,0.0745,13.0844,12.9249
RNN-or,0.2569,0.0051,0.2638,0.2515,0.8823,0.0047,0.8872,0.876,0.0456,0.0006,0.0463,0.0448,9.3923,0.3133,9.8169,9.0703
GRU-or,0.2597,0.0131,0.2765,0.2445,0.8795,0.0122,0.8935,0.8637,0.046,0.0022,0.0489,0.0435,8.9633,0.8327,10.1158,8.1775
DNN-or,0.4097,0.046,0.4672,0.3547,0.697,0.0675,0.7758,0.6109,0.0622,0.0048,0.0684,0.0566,17.1356,3.4883,21.6404,13.1417
LSTM-or,0.2554,0.0094,0.2687,0.248,0.8836,0.0087,0.8904,0.8713,0.0464,0.0013,0.0482,0.045,9.3146,0.2896,9.655,8.9471
