,0,1,2
CNN-or,0.58,0.5816,0.5814
RNN-or,0.4996,0.4998,0.5045
GRU-or,0.5073,0.5159,0.4968
DNN-or,0.5952,0.6487,0.6961
LSTM-or,0.4842,0.4898,0.5106
