,TrainRMSE,TestRMSE,Step1,Step2,Step3
Exp1,2.17288,1.9491,1.32141,1.22448,0.74399
Exp2,3.17325,2.47445,0.76927,1.87799,1.41573
Exp3,2.21307,2.01956,0.72933,0.83972,1.6857
Exp4,2.68293,2.42936,0.83562,1.29915,1.87503
Exp5,2.59421,2.28706,1.74815,1.16576,0.90312
Exp6,1.99955,1.7997,0.95989,1.26186,0.8516
Exp7,4.30466,3.57426,2.73218,1.66968,1.5883
Exp8,3.06564,2.72488,0.98651,1.84679,1.74389
Exp9,2.49948,2.19232,1.34179,0.73014,1.5725
Exp10,2.07107,1.82516,1.0645,1.23317,0.82301
