,fc3_rmse_mean,fc3_r2_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-obs,16.0956,0.1549,3.1454,18.3253,11.6474,0.2962,0.5737,-0.0552
RNN-obs,11.7827,0.5638,0.0028,11.7863,11.7795,0.0002,0.564,0.5635
GRU-obs,11.0694,0.6149,0.1173,11.2009,10.916,0.0082,0.6256,0.6058
DNN-obs,11.6959,0.5701,0.1071,11.8457,11.6017,0.0079,0.5771,0.5591
LSTM-obs,11.1132,0.6118,0.215,11.2982,10.8117,0.0149,0.6327,0.5989
CNN-sg5,18.2326,-0.0446,0.0176,18.2572,18.2168,0.002,-0.0428,-0.0474
RNN-sg5,12.0219,0.5458,0.1438,12.1433,11.8199,0.0108,0.561,0.5366
GRU-sg5,11.6325,0.5748,0.0694,11.7222,11.5533,0.0051,0.5806,0.5682
DNN-sg5,11.4661,0.5869,0.047,11.5107,11.4011,0.0034,0.5916,0.5837
LSTM-sg5,12.2384,0.5293,0.1649,12.4149,12.0182,0.0126,0.5461,0.5157
CNN-sg7,15.883,0.1729,3.3097,18.2279,11.2024,0.306,0.6057,-0.044
RNN-sg7,11.2325,0.6035,0.1568,11.4543,11.1196,0.0111,0.6115,0.5877
GRU-sg7,11.2673,0.601,0.1517,11.4705,11.106,0.0107,0.6124,0.5866
DNN-sg7,11.2558,0.6019,0.0095,11.2666,11.2434,0.0007,0.6028,0.6011
LSTM-sg7,11.6762,0.5713,0.2931,12.0907,11.4627,0.0217,0.5871,0.5406
CNN-sg9,18.2541,-0.047,0.0037,18.2581,18.2492,0.0004,-0.0465,-0.0475
RNN-sg9,10.6876,0.641,0.1197,10.8431,10.552,0.008,0.6501,0.6306
GRU-sg9,10.7894,0.6342,0.1585,10.9308,10.5681,0.0107,0.6491,0.6246
DNN-sg9,11.3594,0.5945,0.1528,11.5745,11.2348,0.011,0.6034,0.579
LSTM-sg9,10.4008,0.66,0.2059,10.6915,10.242,0.0136,0.6704,0.6408
CNN-ew2,13.6182,0.3838,3.2624,18.232,11.3,0.3029,0.5988,-0.0445
RNN-ew2,11.4047,0.5909,0.3532,11.791,10.9373,0.0252,0.6241,0.5631
GRU-ew2,10.8721,0.6285,0.1828,11.1122,10.669,0.0125,0.6423,0.612
DNN-ew2,11.5237,0.5827,0.0827,11.5978,11.4083,0.006,0.591,0.5773
LSTM-ew2,10.7658,0.6357,0.1838,10.9206,10.5076,0.0124,0.6531,0.6253
CNN-ew3,13.5849,0.3866,3.2626,18.1985,11.2288,0.3022,0.6038,-0.0407
RNN-ew3,10.9344,0.6242,0.1796,11.099,10.6846,0.0123,0.6413,0.6129
GRU-ew3,10.631,0.6448,0.1274,10.7997,10.4919,0.0085,0.6541,0.6335
DNN-ew3,11.343,0.5957,0.034,11.3909,11.3154,0.0024,0.5977,0.5923
LSTM-ew3,10.8087,0.6328,0.1319,10.9609,10.6392,0.0089,0.6443,0.6225
CNN-ew4,18.1807,-0.0386,0.0043,18.1849,18.1747,0.0005,-0.038,-0.0391
RNN-ew4,11.0551,0.6159,0.1246,11.1586,10.8798,0.0086,0.628,0.6087
GRU-ew4,10.7396,0.6376,0.0155,10.7538,10.7181,0.001,0.639,0.6366
DNN-ew4,11.3444,0.5956,0.0608,11.3881,11.2584,0.0043,0.6017,0.5925
LSTM-ew4,10.1279,0.6777,0.0679,10.2041,10.0392,0.0043,0.6833,0.6728
