,TrainRMSE,TestRMSE,Step1,Step2,Step3
Exp1,0.24908,0.91624,0.34876,0.52694,0.66347
Exp2,0.2483,0.91407,0.34112,0.5236,0.66709
Exp3,0.24741,0.90344,0.33379,0.51853,0.66024
Exp4,0.24712,0.91475,0.34498,0.52499,0.66493
Exp5,0.24877,0.91482,0.35181,0.52524,0.66125
