,fc3_rmse_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_mean,fc3_r2_std,fc3_r2_max,fc3_r2_min
GRU-sg7,0.7177,0.0305,0.7678,0.678,0.0812,0.0786,0.1815,-0.0497
RNN-sg7,0.7047,0.0259,0.7449,0.6772,0.1144,0.0656,0.1833,0.0118
LSTM-or,0.7285,0.0269,0.7604,0.6843,0.0537,0.0693,0.1662,-0.0295
GRU-anchor,0.7255,0.0492,0.8203,0.678,0.0585,0.1325,0.1816,-0.1983
GRU-attn,0.7251,0.0245,0.7564,0.6861,0.0627,0.0629,0.1617,-0.0189
RNN-attn,0.8013,0.0794,0.8799,0.659,-0.1546,0.2167,0.2266,-0.3787
LSTM-attn,0.7696,0.0596,0.8682,0.6993,-0.061,0.1664,0.1292,-0.3423
Transformer,1.2093,0.1863,1.5723,1.0524,-1.6658,0.884,-0.9723,-3.402
