,fc2_rmse_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_mean,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-sg5,18.4472,0.0,18.4472,18.4472,-0.0573,0.0,-0.0573,-0.0573
RNN-sg5,17.691,0.0,17.691,17.691,0.0276,0.0,0.0276,0.0276
GRU-sg5,39.145,0.0,39.145,39.145,-3.7611,0.0,-3.7611,-3.7611
DNN-sg5,16.0666,0.0,16.0666,16.0666,0.1979,0.0,0.1979,0.1979
LSTM-sg5,24.8045,0.0,24.8045,24.8045,-0.9117,0.0,-0.9117,-0.9117
