,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,0.00564,-0.11615,-0.05377,-0.04156,-0.02082
Exp2,0.00542,-0.11741,-0.05394,-0.04173,-0.02175
Exp3,0.00649,-0.11664,-0.05157,-0.04123,-0.02385
Exp4,0.00491,-0.10823,-0.04979,-0.0388,-0.01964
Exp5,0.00678,-0.11258,-0.05269,-0.0399,-0.01999
Exp6,0.0079,-0.11554,-0.05327,-0.04099,-0.02128
Exp7,0.00161,-0.12855,-0.05586,-0.04532,-0.02737
Exp8,0.00508,-0.12156,-0.05375,-0.04306,-0.02476
Exp9,0.00193,-0.12853,-0.0545,-0.04575,-0.02828
Exp10,0.00712,-0.12155,-0.05454,-0.04319,-0.02382
