,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainMSE,0.00529,0.00197,0.00406,0.00651,0.00161,0.0079
TestMSE,-0.11867,0.00616,-0.12249,-0.11486,-0.12855,-0.10823
Step1,-0.05337,0.00161,-0.05437,-0.05237,-0.05586,-0.04979
Step2,-0.04215,0.0021,-0.04345,-0.04085,-0.04575,-0.0388
Step3,-0.02316,0.00284,-0.02492,-0.02139,-0.02828,-0.01964
