,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,0.0183,0.13539,0.13539,0.33923,0.5602
Exp2,0.01774,0.13232,0.13232,0.33478,0.56101
Exp3,0.0178,0.13276,0.13276,0.33742,0.56695
Exp4,0.01811,0.13254,0.13254,0.34022,0.57083
Exp5,0.01868,0.13838,0.13838,0.34177,0.5623
Exp6,0.01732,0.13611,0.13611,0.34099,0.56436
Exp7,0.01837,0.13903,0.13903,0.34226,0.56235
Exp8,0.01833,0.13306,0.13306,0.33547,0.55595
Exp9,0.01858,0.13293,0.13293,0.34107,0.56656
Exp10,0.01826,0.13365,0.13365,0.33721,0.55767
