,TrainRMSE,TestRMSE,Step1,Step2,Step3
Exp1,1.65916,1.72134,0.92189,0.89455,1.14582
Exp2,2.90049,3.13554,1.74636,1.50381,2.12612
Exp3,2.2731,2.39928,1.93498,0.89413,1.10132
Exp4,3.06443,3.36897,1.54146,2.62434,1.44455
Exp5,2.73738,2.98924,1.59871,2.19657,1.2469
Exp6,2.08898,2.19007,1.20392,1.60643,0.87542
Exp7,1.78801,1.86968,0.88769,1.02943,1.28374
Exp8,2.97912,3.21376,2.27757,2.06773,0.93029
Exp9,2.7016,2.9628,1.93784,1.56887,1.60051
Exp10,1.79952,2.03392,1.40081,0.97012,1.1106
