,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,2.27149,0.40218,2.02222,2.52077,1.70734,2.91393
TestRMSE,2.49782,0.42922,2.23178,2.76385,1.88966,3.21961
Step1,1.14397,0.30715,0.95359,1.33434,0.8294,1.88446
Step2,1.62778,0.59715,1.25766,1.9979,0.88084,2.74674
Step3,1.36872,0.37504,1.13627,1.60117,0.92136,2.03692
