,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
MLP_1,52.8286321646317,175.0385604192448,67.82956312976168,126.20824531224362,69.32690270360327,49.675310054376304,69.91276284914963,107.60736346787495,67.01360701535687,76.08379629980458,61.999964122868995,46.557066144671246,46.267431224520294,55.91817295906304,57.0190304416051,53.0846803982908,44.717766748814306,55.9896625648197,57.59352326938239,74.59136800487299,86.48412375026368,120.18179117494802,52.60718371805821,37.925403252994855,54.96868427338903,33.95903677126846,82.34097822348926,97.99936242319691,78.68030155953713,50.37871898577668,62.1629943744702,39.93624430284842,49.91595616924369,42.5663908712203,93.07363884841536,69.4350411644451,371.16845010217,57.54032299143019,85.87455003066438,71.86301340742952
MLP_7,80.38437347450564,46.10266645980747,58.13382112466105,81.91188510573264,65.45961911071797,47.05296221306771,65.15886715347307,57.57448665152276,68.80561273556586,59.576840800053795,86.07508737620294,134.29837305335892,63.77783753259791,75.15000846596998,76.67337881268416,67.18208331966939,81.95110817587208,53.79397003513066,58.711305193712285,153.8063173756087,105.04597037678344,134.95462805683508,78.34879671914152,85.47532359369288,61.69765689004821,55.73769831095714,65.09572570559912,53.48371665462503,51.60041772617475,90.06682084513507,103.32694265669339,173.54201717004972,49.72259462798759,72.7365343242027,80.27914455729942,64.48684943393631,78.47502864007966,123.6405008091525,63.258614133663635,74.52582348069807
LSTM_1,65.31393995105131,64.5796318865508,69.10295345896633,69.43313984082472,70.30287598678045,68.47925298848126,80.6832815253952,72.95513567214064,67.72539573228285,70.92255772408559,69.79029245639808,69.43451836134213,61.045378578484936,74.00032898343302,75.18242179889353,68.54976428359824,71.87815816045217,67.60397177099397,65.95080405205401,68.1071924966981,74.33536679538418,75.2335840947375,66.4966634529526,69.76544854950986,67.2734688271453,73.41624934375372,69.34266370292919,65.00493444352011,68.71643153969602,72.89045976497187,78.0947967695431,73.86031044045166,79.47469013069613,70.30331540809591,75.88790933105264,71.7650623847094,66.98037443203596,72.69095196505855,59.027629400501425,72.43743275337553
LSTM_7,57.15009179448893,65.40573106170874,57.016423246573034,58.165406693487235,57.18570134226606,63.93933767764079,61.27464923775135,61.555300139629644,61.958591821398,61.55962791314359,57.67968601601113,63.23565030901193,58.34857795184213,64.14840061760017,57.153038763400616,64.59524307777376,62.6259947155965,66.18388770092861,61.92590374115916,57.81755601134065,57.7353582440613,60.54878931558892,62.08747679251907,61.700628746831754,60.01648984567295,65.00383301746909,66.27042840116476,57.813311983594375,59.389769776495235,55.382210782619175,66.77075465988104,61.637289236942,61.740695228122505,60.52435411340575,59.810464816945,60.53805031558316,60.244227688394936,57.733821502560964,69.55714231205249,58.688188691501104
Transformer,21.80038370766358,23.98651151662394,25.75352672700333,21.383562585194422,20.685775666414166,24.421342351480668,22.295033277421787,23.131935446191257,20.635620515188076,20.61837905642748,21.273539526190433,20.03155422783466,17.252742927863245,25.187591176550093,24.11105785051502,19.63099248608307,19.22091512838928,26.238339868151066,24.01575336511532,24.630885390293948,22.489193464855095,19.61206746674164,22.047229796629587,22.307892668216056,18.8676688179657,26.46661838684408,26.697592048149097,21.811588786952083,21.589416717899248,22.308159858498318,22.826451963516906,19.933173151568386,24.458032763851072,23.766507543728874,20.906512131949224,21.940911108560247,23.98368105973021,21.177074666757104,21.8523448341657,19.405042696744378
