,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,8398.52941,11243.72247,7267.51283,14644.11272,11819.54185
Exp2,12327.48775,16370.26168,16153.663,16227.30133,16729.82073
Exp3,12268.90934,16303.18516,16182.14702,16323.57184,16403.83662
Exp4,12299.95984,16338.83895,16381.2036,16348.01414,16287.29911
Exp5,7900.60597,10588.89285,3588.50714,27724.18422,453.98719
Exp6,12430.04233,16487.9264,16556.24713,16167.41978,16740.11229
Exp7,12301.48417,16340.59367,16402.88016,16156.32066,16462.58018
Exp8,54136.01952,73218.67841,23952.94766,181135.22339,14567.86418
Exp9,14554.71929,19420.88789,442.71365,36345.57302,21474.377
Exp10,12312.53232,16353.16623,16760.46935,16132.7032,16166.32615
