,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainMSE,11766.10287,3036.73745,9883.91351,13648.29224,3886.95174,16724.11663
TestMSE,15661.71173,4027.72443,13165.30227,18158.1212,5274.34166,22418.2668
Step1,14643.47935,2894.01353,12849.75118,16437.20752,8885.30791,16589.613
Step2,14791.8663,6281.39233,10898.619,18685.1136,2887.06399,25563.36722
Step3,17549.78955,13413.63587,9235.9319,25863.6472,2161.25988,54369.82726
