,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainMSE,2.57992,1.05189,1.92796,3.23189,1.12115,4.73042
TestMSE,3.01459,1.30659,2.20476,3.82442,1.0466,5.66701
Step1,2.501,1.89497,1.32649,3.67552,0.94215,7.60628
Step2,3.82023,4.02079,1.32812,6.31234,0.76617,15.04624
Step3,2.72255,1.4358,1.83263,3.61247,0.89905,5.92968
