,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,2.68291,3.1355,3.10733,4.25994,2.03923
Exp2,1.12115,1.0466,1.321,0.91974,0.89905
Exp3,3.21305,3.67099,3.19646,4.3877,3.42881
Exp4,1.9457,2.35842,2.35236,2.1217,2.60119
Exp5,4.00633,4.82696,7.60628,0.94493,5.92968
Exp6,1.67332,1.90684,1.07005,0.76617,3.88429
Exp7,2.18069,2.55819,2.81002,1.38706,3.47749
Exp8,1.9432,2.41027,1.04534,4.02514,2.16035
Exp9,4.73042,5.66701,0.94215,15.04624,1.01262
Exp10,2.30247,2.56515,1.55904,4.34367,1.79274
