,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.19764,0.00162,0.19664,0.19865,0.19567,0.20121
TestRMSE,0.98583,0.00344,0.9837,0.98796,0.97933,0.99225
Step1,0.37086,0.00253,0.36929,0.37243,0.36647,0.3745
Step2,0.55886,0.00193,0.55767,0.56006,0.55563,0.56231
Step3,0.72249,0.00289,0.7207,0.72428,0.71743,0.72805
