,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,1.13123,0.12563,1.02111,1.24135,0.94715,1.31331
TestRMSE,1.25078,0.0578,1.20011,1.30144,1.15145,1.31133
Step1,0.6445,0.0759,0.57798,0.71103,0.49814,0.70915
Step2,0.70372,0.02122,0.68512,0.72232,0.67556,0.74058
Step3,0.80518,0.05147,0.76007,0.8503,0.74418,0.90018
