,fc1_rmse_mean,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_mean,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_mean,test_loss_std,test_loss_max,test_loss_min,train_loss_mean,train_loss_std,train_loss_max,train_loss_min
RNN-ews,0.2834,0.0171,0.3026,0.2531,0.8564,0.0168,0.8858,0.8368,0.0471,0.0028,0.0509,0.0426,6.9025,0.7777,8.4054,6.1524
DNN-sg7,0.3906,0.0337,0.4528,0.3557,0.726,0.0489,0.7745,0.6346,0.0593,0.0056,0.0691,0.054,9.5952,0.9647,10.8895,8.3371
RNN-attn-ew2,0.2625,0.0098,0.2778,0.249,0.877,0.0092,0.8895,0.8624,0.0436,0.0012,0.0451,0.0418,5.6045,0.4274,6.2906,5.0622
