,fc3_rmse_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_mean,fc3_r2_std,fc3_r2_max,fc3_r2_min
RNN-ews,0.6996,0.027,0.7395,0.6632,0.127,0.0677,0.2168,0.0261
DNN-sg7,0.7874,0.107,0.9896,0.6885,-0.1243,0.3231,0.1558,-0.7438
RNN-attn-ew2,0.7481,0.0339,0.7957,0.7101,0.0014,0.0908,0.1022,-0.1274
