,fc3_rmse_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_mean,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-sg7,0.8039,0.0278,0.8307,0.748,-0.1522,0.0786,0.0038,-0.2287
RNN-sg7,0.7865,0.0293,0.8342,0.7495,-0.103,0.0824,-0.0003,-0.2391
GRU-sg7,0.8243,0.0115,0.8377,0.8037,-0.2102,0.0337,-0.1502,-0.2495
DNN-sg7,0.8083,0.0373,0.8872,0.7582,-0.166,0.1088,-0.0236,-0.4017
LSTM-sg7,0.8115,0.0161,0.835,0.7817,-0.1729,0.0462,-0.088,-0.2415
