,0,1,2,3,4,5,6,7,8,9
CNN-sg7,0.7921,0.8298,0.7647,0.8307,0.7887,0.8145,0.748,0.8198,0.8212,0.8296
RNN-sg7,0.8342,0.7495,0.8087,0.7758,0.8181,0.7504,0.8164,0.7674,0.7861,0.7585
GRU-sg7,0.8329,0.8376,0.8308,0.8288,0.8152,0.8168,0.8037,0.8377,0.8305,0.8091
DNN-sg7,0.7914,0.811,0.8234,0.8872,0.7989,0.7611,0.7582,0.8221,0.7831,0.8471
LSTM-sg7,0.7917,0.8191,0.823,0.835,0.8164,0.7817,0.8101,0.7939,0.8202,0.8235
