,Colour(t-23),Colour(t-22),Colour(t-21),Colour(t-20),Colour(t-19),Colour(t-18),Colour(t-17),Colour(t-16),Colour(t-15),Colour(t-14),Colour(t-13),Colour(t-12),Colour(t-11),Colour(t-10),Colour(t-9),Colour(t-8),Colour(t-7),Colour(t-6),Colour(t-5),Colour(t-4),Colour(t-3),Colour(t-2),Colour(t-1),Colour(t),Colour(t+1),Colour(t+2),Colour(t+3)
0,96.1,93.40000000000002,91.19999999999996,89.11428571428567,88.11428571428567,86.92857142857139,87.62857142857138,89.6428571428571,94.28571428571423,102.32857142857137,110.4714285714285,115.22857142857136,117.74285714285708,120.29999999999993,120.94285714285708,120.1714285714285,119.92857142857136,121.87142857142852,124.24285714285708,125.6714285714285,126.79999999999993,126.14285714285708,123.64285714285708,120.4571428571428,117.69999999999992,116.38571428571424,106.58571428571425
1,93.40000000000002,91.19999999999996,89.11428571428567,88.11428571428567,86.92857142857139,87.62857142857138,89.6428571428571,94.28571428571423,102.32857142857137,110.4714285714285,115.22857142857136,117.74285714285708,120.29999999999993,120.94285714285708,120.1714285714285,119.92857142857136,121.87142857142852,124.24285714285708,125.6714285714285,126.79999999999993,126.14285714285708,123.64285714285708,120.4571428571428,117.69999999999992,116.38571428571424,106.58571428571425,100.42857142857136
2,91.19999999999996,89.11428571428567,88.11428571428567,86.92857142857139,87.62857142857138,89.6428571428571,94.28571428571423,102.32857142857137,110.4714285714285,115.22857142857136,117.74285714285708,120.29999999999993,120.94285714285708,120.1714285714285,119.92857142857136,121.87142857142852,124.24285714285708,125.6714285714285,126.79999999999993,126.14285714285708,123.64285714285708,120.4571428571428,117.69999999999992,116.38571428571424,106.58571428571425,100.42857142857136,99.19999999999996
3,89.11428571428567,88.11428571428567,86.92857142857139,87.62857142857138,89.6428571428571,94.28571428571423,102.32857142857137,110.4714285714285,115.22857142857136,117.74285714285708,120.29999999999993,120.94285714285708,120.1714285714285,119.92857142857136,121.87142857142852,124.24285714285708,125.6714285714285,126.79999999999993,126.14285714285708,123.64285714285708,120.4571428571428,117.69999999999992,116.38571428571424,106.58571428571425,100.42857142857136,99.19999999999996,105.24285714285708
4,88.11428571428567,86.92857142857139,87.62857142857138,89.6428571428571,94.28571428571423,102.32857142857137,110.4714285714285,115.22857142857136,117.74285714285708,120.29999999999993,120.94285714285708,120.1714285714285,119.92857142857136,121.87142857142852,124.24285714285708,125.6714285714285,126.79999999999993,126.14285714285708,123.64285714285708,120.4571428571428,117.69999999999992,116.38571428571424,106.58571428571425,100.42857142857136,99.19999999999996,105.24285714285708,105.24285714285708
5,86.92857142857139,87.62857142857138,89.6428571428571,94.28571428571423,102.32857142857137,110.4714285714285,115.22857142857136,117.74285714285708,120.29999999999993,120.94285714285708,120.1714285714285,119.92857142857136,121.87142857142852,124.24285714285708,125.6714285714285,126.79999999999993,126.14285714285708,123.64285714285708,120.4571428571428,117.69999999999992,116.38571428571424,106.58571428571425,100.42857142857136,99.19999999999996,105.24285714285708,105.24285714285708,106.78571428571422
6,87.62857142857138,89.6428571428571,94.28571428571423,102.32857142857137,110.4714285714285,115.22857142857136,117.74285714285708,120.29999999999993,120.94285714285708,120.1714285714285,119.92857142857136,121.87142857142852,124.24285714285708,125.6714285714285,126.79999999999993,126.14285714285708,123.64285714285708,120.4571428571428,117.69999999999992,116.38571428571424,106.58571428571425,100.42857142857136,99.19999999999996,105.24285714285708,105.24285714285708,106.78571428571422,111.71428571428564
7,89.6428571428571,94.28571428571423,102.32857142857137,110.4714285714285,115.22857142857136,117.74285714285708,120.29999999999993,120.94285714285708,120.1714285714285,119.92857142857136,121.87142857142852,124.24285714285708,125.6714285714285,126.79999999999993,126.14285714285708,123.64285714285708,120.4571428571428,117.69999999999992,116.38571428571424,106.58571428571425,100.42857142857136,99.19999999999996,105.24285714285708,105.24285714285708,106.78571428571422,111.71428571428564,115.9714285714285
8,94.28571428571423,102.32857142857137,110.4714285714285,115.22857142857136,117.74285714285708,120.29999999999993,120.94285714285708,120.1714285714285,119.92857142857136,121.87142857142852,124.24285714285708,125.6714285714285,126.79999999999993,126.14285714285708,123.64285714285708,120.4571428571428,117.69999999999992,116.38571428571424,106.58571428571425,100.42857142857136,99.19999999999996,105.24285714285708,105.24285714285708,106.78571428571422,111.71428571428564,115.9714285714285,117.78571428571422
9,102.32857142857137,110.4714285714285,115.22857142857136,117.74285714285708,120.29999999999993,120.94285714285708,120.1714285714285,119.92857142857136,121.87142857142852,124.24285714285708,125.6714285714285,126.79999999999993,126.14285714285708,123.64285714285708,120.4571428571428,117.69999999999992,116.38571428571424,106.58571428571425,100.42857142857136,99.19999999999996,105.24285714285708,105.24285714285708,106.78571428571422,111.71428571428564,115.9714285714285,117.78571428571422,118.01428571428563
10,110.4714285714285,115.22857142857136,117.74285714285708,120.29999999999993,120.94285714285708,120.1714285714285,119.92857142857136,121.87142857142852,124.24285714285708,125.6714285714285,126.79999999999993,126.14285714285708,123.64285714285708,120.4571428571428,117.69999999999992,116.38571428571424,106.58571428571425,100.42857142857136,99.19999999999996,105.24285714285708,105.24285714285708,106.78571428571422,111.71428571428564,115.9714285714285,117.78571428571422,118.01428571428563,118.88571428571422
11,115.22857142857136,117.74285714285708,120.29999999999993,120.94285714285708,120.1714285714285,119.92857142857136,121.87142857142852,124.24285714285708,125.6714285714285,126.79999999999993,126.14285714285708,123.64285714285708,120.4571428571428,117.69999999999992,116.38571428571424,106.58571428571425,100.42857142857136,99.19999999999996,105.24285714285708,105.24285714285708,106.78571428571422,111.71428571428564,115.9714285714285,117.78571428571422,118.01428571428563,118.88571428571422,116.49999999999994
