,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.2674,0.00267,0.26575,0.26906,0.26227,0.27079
TestRMSE,1.08266,0.00481,1.07968,1.08564,1.07168,1.0893
Step1,0.37914,0.00236,0.37767,0.3806,0.37553,0.38214
Step2,0.61928,0.00325,0.61727,0.6213,0.612,0.62393
Step3,0.80305,0.0035,0.80088,0.80522,0.79472,0.8086
