,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,1.00843,0.05344,0.96158,1.05527,0.93539,1.08091
TestRMSE,1.16968,0.06518,1.11255,1.22682,1.07773,1.23257
Step1,0.58816,0.03175,0.56033,0.616,0.54036,0.62631
Step2,0.6684,0.06261,0.61352,0.72328,0.59471,0.74788
Step3,0.75654,0.04933,0.7133,0.79978,0.69954,0.82931
