,TrainRMSE,TestRMSE,Step1,Step2,Step3
Exp1,0.22249,0.87787,0.34233,0.50541,0.63088
Exp2,0.22976,0.89412,0.35181,0.51312,0.64218
Exp3,0.22317,0.89882,0.35504,0.51817,0.6429
Exp4,0.22095,0.87587,0.34143,0.50206,0.63128
Exp5,0.231,0.90742,0.35979,0.52448,0.6472
Exp6,0.22226,0.89888,0.35547,0.51776,0.64308
Exp7,0.21877,0.90873,0.35973,0.52284,0.6504
Exp8,0.22814,0.91126,0.36103,0.52483,0.65163
Exp9,0.22737,0.92114,0.36866,0.53064,0.65651
Exp10,0.21556,0.88881,0.34909,0.51183,0.6373
