,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.22395,0.00474,0.22101,0.22688,0.21556,0.231
TestRMSE,0.89829,0.01382,0.88973,0.90686,0.87587,0.92114
Step1,0.35444,0.00809,0.34942,0.35945,0.34143,0.36866
Step2,0.51711,0.00859,0.51179,0.52244,0.50206,0.53064
Step3,0.64334,0.00804,0.63836,0.64832,0.63088,0.65651
