,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,-0.00651,-0.14673,-0.06089,-0.05358,-0.03225
Exp2,-0.0039,-0.14862,-0.06162,-0.05413,-0.03287
Exp3,-0.00758,-0.14762,-0.06111,-0.0535,-0.03301
Exp4,-0.01005,-0.14408,-0.05958,-0.05245,-0.03205
Exp5,-0.00495,-0.14537,-0.059,-0.0526,-0.03377
Exp6,-0.00741,-0.14999,-0.06085,-0.05462,-0.03452
Exp7,-0.00874,-0.15238,-0.06113,-0.05482,-0.03644
Exp8,-0.0082,-0.14805,-0.06085,-0.05383,-0.03337
Exp9,-0.00613,-0.14778,-0.0605,-0.05391,-0.03337
Exp10,-0.00138,-0.14414,-0.0604,-0.05245,-0.03129
