,0,1,2,3,4,5,6,7,8,9
CNN-or,0.8171,0.8353,0.8581,0.8255,0.8216,0.8242,0.8335,0.7473,0.8203,0.8069
RNN-or,0.7591,0.7871,0.8167,0.8145,0.8285,0.8175,0.7609,0.7798,0.7732,0.7897
GRU-or,0.8438,0.7846,0.814,0.8166,0.8458,0.8297,0.7831,0.8206,0.8289,0.8189
DNN-or,0.7648,0.7717,0.8363,0.8243,0.788,0.8089,0.7764,0.812,0.808,0.784
LSTM-or,0.7957,0.7886,0.832,0.8377,0.8085,0.8176,0.8247,0.815,0.8199,0.821
