,fc3_rmse_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_mean,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-or,0.819,0.0272,0.8581,0.7473,-0.1957,0.0772,0.0054,-0.311
RNN-or,0.7927,0.0238,0.8285,0.7591,-0.12,0.0673,-0.0262,-0.2222
GRU-or,0.8186,0.0201,0.8458,0.7831,-0.194,0.0582,-0.0921,-0.2737
DNN-or,0.7974,0.0226,0.8363,0.7648,-0.1333,0.0644,-0.0417,-0.2453
LSTM-or,0.8161,0.0144,0.8377,0.7886,-0.1863,0.0416,-0.1075,-0.2495
